"",".","n"
"1","cancer",380
"2","results",257
"3","methods",213
"4","patients",192
"5","study",171
"6","associated",142
"7","conclusions",139
"8","treatment",139
"9","data",133
"10","clinical",117
"11","risk",109
"12","background",108
"13","analysis",101
"14","tumor",99
"15","cell",98
"16","use",93
"17","compared",90
"18","studies",90
"19","conclusion",86
"20","95%",83
"21","ci",83
"22","purpose",82
"23","outcomes",80
"24","years",79
"25","breast",78
"26","identified",78
"27","been",77
"28","4",76
"29","most",76
"30","cells",75
"31","age",74
"32","both",74
"33","can",74
"34","survival",73
"35","therapy",73
"36","higher",71
"37","increased",71
"38","other",71
"39","identify",70
"40","disease",68
"41","including",67
"42","patient",67
"43","effects",66
"44","health",66
"45","two",66
"46","factors",63
"47","p",62
"48","well",62
"49","6",61
"50","care",61
"51","evidence",61
"52","objective",61
"53","significantly",60
"54","there",60
"55","5",59
"56","found",59
"57","potential",59
"58","findings",58
"59","response",58
"60","time",55
"61","model",54
"62","reported",54
"63","when",54
"64","association",53
"65","during",53
"66","included",53
"67","participants",53
"68","research",53
"69","significant",53
"70","trial",53
"71","tumors",53
"72","development",52
"73","it",52
"74","primary",52
"75","women",52
"76","assessed",51
"77","based",51
"78","one",51
"79","should",51
"80","<",50
"81","cancers",50
"82","diagnosis",50
"83","did",50
"84","group",50
"85","low",50
"86","models",50
"87","regression",50
"88","respectively",50
"89","review",50
"90","role",50
"91","common",49
"92","its",49
"93","chemotherapy",48
"94","design",48
"95","increase",48
"96","levels",48
"97","although",47
"98","cohort",47
"99","conducted",47
"100","further",47
"101","human",47
"102","total",47
"103","about",46
"104","improve",46
"105","lower",46
"106","new",46
"107","population",46
"108","such",46
"109","while",46
"110","7",45
"111","effect",45
"112","expression",45
"113","median",45
"114","those",45
"115","through",45
"116","across",44
"117","diagnosed",44
"118","differences",44
"119","analyses",43
"120","confidence",43
"121","current",43
"122","each",43
"123","important",43
"124","8",42
"125","could",42
"126","rates",42
"127","ratio",42
"128","support",42
"129","here",41
"130","months",41
"131","needed",41
"132","vs",41
"133","within",41
"134","assess",40
"135","determine",40
"136","effective",40
"137","efficacy",40
"138","known",40
"139","(n",40
"140","over",40
"141","performed",40
"142","stage",40
"143","they",40
"144","three",40
"145","activity",39
"146","status",39
"147","whether",39
"148","10",38
"149","9",38
"150","associations",38
"151","due",38
"152","less",38
"153","likely",38
"154","(p",38
"155","similar",38
"156","future",37
"157","impact",37
"158","national",37
"159","observed",37
"160","provide",37
"161","suggest",37
"162","trials",37
"163","approach",36
"164","drug",36
"165","follow-up",36
"166","gene",36
"167","number",36
"168","quality",36
"169","received",36
"170","sample",36
"171","without",36
"172","characteristics",35
"173","evaluated",35
"174","inhibitor",35
"175","interval",35
"176","only",35
"177","rate",35
"178","several",35
"179","advanced",34
"180","developed",34
"181","groups",34
"182","novel",34
"183","therapeutic",34
"184","treated",34
"185","cases",33
"186","enrolled",33
"187","improved",33
"188","states",33
"189","12",32
"190","additional",32
"191","american",32
"192","carcinoma",32
"193","examined",32
"194","function",32
"195","if",32
"196","many",32
"197","multiple",32
"198","phase",32
"199","system",32
"200","toxicity",32
"201","before",31
"202","different",31
"203","first",31
"204","immune",31
"205","large",31
"206","screening",31
"207","strategies",31
"208","target",31
"209","baseline",30
"210","better",30
"211","completed",30
"212","control",30
"213","demonstrated",30
"214","early",30
"215","information",30
"216","lung",30
"217","materials",30
"218","poor",30
"219","randomized",30
"220","showed",30
"221","14",29
"222","18",29
"223","any",29
"224","colorectal",29
"225","combination",29
"226","grade",29
"227","growth",29
"228","interventions",29
"229","life",29
"230","mortality",29
"231","prostate",29
"232","receptor",29
"233","versus",29
"234","001)",28
"235","being",28
"236","end",28
"237","estimate",28
"238","examine",28
"239","inhibitors",28
"240","medical",28
"241","older",28
"242","reduced",28
"243","test",28
"244","13",27
"245","15",27
"246","2018",27
"247","(95%",27
"248","available",27
"249","incidence",27
"250","independent",27
"251","mean",27
"252","outcome",27
"253","per",27
"254","related",27
"255","remains",27
"256","us",27
"257","2014",26
"258","analyzed",26
"259","and/or",26
"260","assessment",26
"261","criteria",26
"262","difference",26
"263","genes",26
"264","(hr",26
"265","measures",26
"266","mice",26
"267","need",26
"268","reduce",26
"269","responses",26
"270","surgery",26
"271","death",25
"272","decreased",25
"273","delivery",25
"274","exposure",25
"275","literature",25
"276","logistic",25
"277","major",25
"278","management",25
"279","metastatic",25
"280","(or",25
"281","positive",25
"282","practice",25
"283","progression",25
"284","radiation",25
"285","report",25
"286","setting",25
"287","show",25
"288","small",25
"289","types",25
"290","united",25
"291","via",25
"292","year",25
"293","©2018",24
"294","adults",24
"295","aim",24
"296","aimed",24
"297","dna",24
"298","factor",24
"299","followed",24
"300","four",24
"301","functional",24
"302","level",24
"303","measure",24
"304","objectives",24
"305","oncology",24
"306","protein",24
"307","secondary",24
"308","some",24
"309","surveillance",24
"310","up",24
"311","11",23
"312","16",23
"313","against",23
"314","burden",23
"315","days",23
"316","education",23
"317","either",23
"318","greater",23
"319","highly",23
"320","how",23
"321","increasing",23
"322","invasive",23
"323","measured",23
"324","previously",23
"325","prospective",23
"326","ratios",23
"327","six",23
"328","underwent",23
"329","where",23
"330","(1",22
"331","addition",22
"332","benefit",22
"333","collected",22
"334","evaluate",22
"335","events",22
"336","implications",22
"337","mechanisms",22
"338","odds",22
"339","present",22
"340","recurrence",22
"341","res",22
"342","sequencing",22
"343","then",22
"344","treatments",22
"345","type",22
"346","2017",21
"347","6%",21
"348","95%ci",21
"349","aacr",21
"350","adverse",21
"351","agents",21
"352","alone",21
"353","blood",21
"354","changes",21
"355","cox",21
"356","estimated",21
"357","inhibition",21
"358","intervention",21
"359","lack",21
"360","lines",21
"361","method",21
"362","multivariable",21
"363","period",21
"364","program",21
"365","race",21
"366","retrospective",21
"367","samples",21
"368","survey",21
"369","vivo",21
"370","3%",20
"371","activation",20
"372","defined",20
"373","despite",20
"374","developing",20
"375","efforts",20
"376","furthermore",20
"377","genome",20
"378","guidelines",20
"379","imaging",20
"380","importance",20
"381","inthe",20
"382","limited",20
"383","loss",20
"384","men",20
"385","molecular",20
"386","patient-reported",20
"387","physical",20
"388","prevalence",20
"389","relative",20
"390","standard",20
"391","t",20
"392","000",19
"393","2015",19
"394","24",19
"395","65",19
"396","aged",19
"397","because",19
"398","cause",19
"399","complete",19
"400","currently",19
"401","demonstrate",19
"402","g",19
